DPID2,CHAMBER_NAME
3242,W-2_RB3-_S11
3243,W-2_RB3+_S11
3244,W-2_RB4_S11
3245,W-2_RB1in_S12
3246,W-2_RB1out_S12
3248,W+1_RB2in_S12
3249,W+1_RB2out_S12
3250,W+1_RB3-_S12
3251,W+1_RB3+_S12
3252,W+1_RB4-_S12
3253,W+1_RB4+_S12
3255,W0_RB2in_S12
3256,W0_RB2out_S12
3257,W0_RB3-_S12
3258,W0_RB3+_S12
3259,W0_RB4-_S12
3260,W0_RB4+_S12
3262,W-1_RB2in_S12
3263,W-1_RB2out_S12
3264,W-1_RB3-_S12
3265,W-1_RB3+_S12
3266,W-1_RB4-_S12
3267,W-1_RB4+_S12
3269,W-2_RB2in_S12
3270,W-2_RB2out_S12
3271,W-2_RB3-_S12
3272,W-2_RB3+_S12
3273,W-2_RB4-_S12
3274,W-2_RB4+_S12
6409,W0_RB1out_S01
6411,W0_RB2in_S01
6413,W0_RB2out_S01
6415,W0_RB3-_S01
6418,W0_RB3+_S01
6421,W0_RB4-_S01
6423,W0_RB4+_S01
6425,W0_RB1in_S02
6427,W0_RB1out_S02
6429,W0_RB2in_S02
6431,W0_RB2out_S02
6433,W0_RB3-_S02
6435,W0_RB3+_S02
6437,W0_RB4-_S02
6439,W0_RB4+_S02
6441,W0_RB1in_S03
6443,W0_RB1out_S03
6445,W0_RB2in_S03
6447,W0_RB2out_S03
6449,W0_RB3-_S03
6451,W0_RB3+_S03
6453,W0_RB4-_S03
6455,W0_RB4+_S03
6457,W0_RB1in_S04
6459,W0_RB1out_S04
6461,W0_RB2in_S04
6463,W0_RB2out_S04
6465,W0_RB3-_S04
6467,W0_RB3+_S04
6469,W0_RB4--_S04
6471,W0_RB4-_S04
6473,W0_RB4+_S04
6475,W0_RB4++_S04
6477,W0_RB1in_S05
6479,W0_RB1out_S05
6481,W0_RB2in_S05
6483,W0_RB2out_S05
6485,W0_RB3-_S05
6487,W0_RB3+_S05
6489,W0_RB4-_S05
6491,W0_RB4+_S05
6493,W0_RB1in_S06
6495,W0_RB1out_S06
6497,W0_RB2in_S06
6499,W0_RB2out_S06
6501,W0_RB3-_S06
6503,W0_RB3+_S06
6505,W0_RB4-_S06
6507,W0_RB4+_S06
6509,W0_RB1in_S07
6511,W0_RB1out_S07
6513,W0_RB2in_S07
6515,W0_RB2out_S07
6517,W0_RB3-_S07
6519,W0_RB3+_S07
